"#FID1","IID1","FID2","IID2","NSNP","HETHET","IBS0","KINSHIP","Relatedness"
"QBC-255","QBC-255","QBC-268","QBC-268",65815,0.123163,0.0467523,0.0469655,"3rd-degree"
"QBC-265","QBC-265","QBC-255","QBC-255",65740,0.128491,0.0426833,0.0672069,"3rd-degree"
"QBC-113","QBC-113","QBC-192","QBC-192",66003,0.124509,0.0372256,0.0663613,"3rd-degree"
"QBC-019","QBC-019","QBC-255","QBC-255",65803,0.126894,0.0413203,0.0578099,"3rd-degree"
"QBC-019","QBC-019","QBC-043","QBC-043",65979,0.126298,0.0435896,0.0500997,"3rd-degree"
"QBC-019","QBC-019","QBC-265","QBC-265",65893,0.127252,0.0441018,0.051157,"3rd-degree"
