"PC","Eigenvalue","Variance_explained_percent"
1,4.96431,27.3537555341887
2,2.48262,13.6794399552581
3,1.72567,9.50858333034871
4,1.42114,7.83059803675776
5,1.39002,7.65912428265619
6,1.33351,7.34774954472947
7,1.22777,6.76511346636508
8,1.20957,6.66482997264244
9,1.20201,6.62317375217304
10,1.19193,6.5676321248805
